Brand,Model,Release_Year,Category,Price_USD,Screen_Size_Inches,Processor_Type,RAM_GB,Storage_GB,OS,Battery_Capacity_mAh,Typical_Capacity_mAh,Rated_Capacity_mAh,Battery_Life_Hours,Standby_Time_Hours,Talk_Time_Hours,Video_Playback_Hours,Web_Browsing_Hours,Music_Playback_Hours,Gaming_Test_Hours,Usage_Scenario,Battery_Endurance_Rating,Battery_Type,Removable_Battery,Charging_Time_0_to_100,Charging_Time_0_to_50,Charging_Wattage,Charging_Technology,Fast_Charging_Supported,Fast_Charging_Tech,Wireless_Charging,Wireless_Charging_Wattage,Reverse_Wireless_Charging,Battery_Health_Percentage,Cycle_Count,Temperature_While_Charging_C,Discharge_Rate_mAh_per_hour,Idle_Discharge_Per_Hour,Thermal_Throttling_Effect,Battery_Saver_Mode_Available,Battery_Saver_Mode_Effect,Power_Consumption_Watt,Efficiency_Score,Refresh_Rate_Hz
Xiaomi,Xiaomi A15,2023,Budget,573.14,6.4,Apple A15 Bionic,12,512,iOS 15,4000,4085,3929,16.3,737,30,12.9,12.5,59,4.4,Mixed,111h,Li-Ion,Yes,81,31,18,SuperVOOC,Yes,SuperVOOC,No,15,Yes,98,94,41.5,514.3,15.7,No,Yes,0.32,6.06,0.0041,120
Oppo,Oppo Max1,2021,Flagship,544.98,6.4,Apple A16 Bionic,4,256,Android 11,5000,5009,4982,14.0,729,33,17.0,11.1,62,8.1,Gaming,91h,Li-Po,No,65,28,45,Fast Charge,Yes,Fast Charge,Yes,5,No,85,267,30.9,473.1,18.7,No,Yes,0.36,3.49,0.0028,60
Samsung,Samsung S5,2024,Flagship,141.18,6.4,Apple A15 Bionic,4,64,iOS 17,3500,3569,3417,15.0,330,33,19.0,13.5,61,7.0,Mixed,95h,Li-Po,No,64,49,10,VOOC,No,,No,10,No,85,517,37.7,233.1,11.7,Yes,No,0.14,4.84,0.0043,90
Vivo,Vivo Max1,2019,Midrange,1345.99,6.7,Snapdragon 778G,16,128,Android 11,3000,3026,2996,11.0,340,34,14.6,10.1,62,4.4,Gaming,109h,Li-Ion,Yes,86,51,45,Turbo Charge,Yes,Turbo Charge,Yes,20,No,90,221,32.7,417.5,11.2,Yes,No,0.28,2.33,0.0037,60
Google,Google Max16,2021,Midrange,1189.79,6.4,Tensor G2,8,128,Android 11,3000,3071,2972,13.6,349,35,12.8,9.5,89,7.0,Gaming,88h,Li-Ion,No,93,58,65,Turbo Charge,Yes,Turbo Charge,Yes,20,Yes,95,359,43.6,562.3,14.4,No,Yes,0.24,3.98,0.0045,90
Xiaomi,Xiaomi Pro29,2020,Flagship,1145.04,6.7,MediaTek Dimensity 9200,12,256,Android 11,6000,6083,6000,9.3,518,35,17.4,15.8,66,8.0,Video,122h,Li-Po,No,39,21,25,VOOC,Yes,VOOC,No,10,No,89,133,38.2,416.2,14.7,No,No,0.18,3.49,0.0016,90
Oppo,Oppo Pro8,2020,Midrange,680.05,6.5,Snapdragon 778G,16,512,iOS 17,3500,3556,3455,16.0,713,26,19.4,14.9,62,8.4,Mixed,110h,Li-Po,Yes,57,31,10,Fast Charge,No,,Yes,15,No,99,164,31.2,591.0,5.7,Yes,Yes,0.19,6.47,0.0046,60
Vivo,Vivo Note8,2021,Budget,597.03,6.8,Snapdragon 778G,16,512,Android 12,4500,4528,4400,15.3,625,37,13.1,16.3,73,7.5,Gaming,92h,Li-Po,No,31,60,120,SuperVOOC,Yes,SuperVOOC,No,5,No,86,447,36.0,419.0,9.1,No,No,0.26,3.41,0.0034,144
Realme,Realme A14,2023,Budget,1306.33,6.1,Exynos 2100,6,128,Android 11,4500,4502,4435,14.7,771,35,15.1,10.0,80,7.0,Gaming,92h,Li-Ion,No,107,18,10,SuperVOOC,No,,Yes,15,No,87,544,44.6,443.4,10.6,No,No,0.12,7.01,0.0033,60
OnePlus,OnePlus Note22,2022,Budget,1260.88,6.1,Apple A15 Bionic,6,512,iOS 17,4500,4521,4473,15.4,648,39,13.3,8.6,98,6.8,Video,96h,Li-Ion,Yes,101,55,10,Warp Charge,No,,No,20,Yes,90,527,36.3,254.7,7.8,Yes,Yes,0.36,4.74,0.0034,120
Oppo,Oppo Pro21,2018,Flagship,478.13,6.8,Apple A15 Bionic,8,64,Android 11,5000,5011,4948,12.8,694,39,10.8,7.8,87,6.6,Mixed,122h,Li-Po,No,76,41,45,Warp Charge,Yes,Warp Charge,No,20,No,88,461,41.3,507.2,17.8,Yes,No,0.27,5.31,0.0026,144
Motorola,Motorola X9,2019,Midrange,772.41,6.0,Snapdragon 8 Gen 1,8,128,Android 13,6000,6037,5931,13.8,654,32,8.1,17.2,100,8.7,Mixed,104h,Li-Ion,No,71,53,25,VOOC,Yes,VOOC,No,20,Yes,96,93,43.5,562.7,8.0,No,Yes,0.37,2.97,0.0023,90
OnePlus,OnePlus A4,2019,Midrange,687.9,6.0,Apple A16 Bionic,12,128,iOS 16,4000,4002,3992,10.7,560,29,19.8,9.6,58,5.5,Video,82h,Li-Ion,Yes,106,53,120,Warp Charge,Yes,Warp Charge,No,5,Yes,99,146,43.7,247.3,11.0,Yes,Yes,0.21,3.38,0.0027,90
Asus,Asus S22,2020,Midrange,639.35,5.5,MediaTek Dimensity 9200,6,128,iOS 15,3500,3589,3446,10.4,778,17,9.6,17.0,64,9.5,Mixed,89h,Li-Ion,No,116,44,25,Warp Charge,Yes,Warp Charge,Yes,5,No,100,512,44.4,496.7,6.7,Yes,Yes,0.3,2.92,0.003,120
OnePlus,OnePlus Pro18,2021,Midrange,131.39,5.5,MediaTek Dimensity 9200,4,64,Android 12,5000,5062,4920,17.0,533,15,9.7,15.4,78,8.2,Mixed,128h,Li-Ion,No,93,21,120,Quick Charge 4.0,Yes,Quick Charge 4.0,No,20,Yes,97,468,38.7,312.2,14.5,Yes,No,0.13,2.78,0.0034,60
Samsung,Samsung X1,2023,Budget,1438.4,6.7,Tensor G2,8,128,iOS 17,4000,4090,3929,9.9,501,15,11.3,14.0,84,4.8,Browsing,92h,Li-Ion,No,90,19,25,SuperVOOC,Yes,SuperVOOC,Yes,10,Yes,93,76,44.9,381.2,18.7,No,No,0.25,4.72,0.0025,144
Motorola,Motorola Note8,2019,Midrange,1359.81,6.0,Tensor G2,8,128,iOS 15,3500,3597,3414,13.5,536,26,17.2,11.8,91,3.5,Gaming,104h,Li-Po,Yes,50,42,33,Turbo Charge,Yes,Turbo Charge,No,5,No,95,43,35.1,237.6,5.7,No,No,0.28,7.72,0.0039,144
OnePlus,OnePlus Max15,2020,Budget,696.57,5.5,Snapdragon 8 Gen 1,4,64,Android 12,4000,4024,4000,8.6,738,37,11.3,11.7,82,9.6,Browsing,130h,Li-Po,No,63,53,25,SuperVOOC,Yes,SuperVOOC,No,0,No,100,252,37.3,214.4,7.8,Yes,Yes,0.33,6.51,0.0022,120
Asus,Asus Pro8,2024,Budget,364.8,6.7,Tensor G2,8,64,iOS 17,4000,4015,3964,15.6,351,40,10.8,16.6,62,3.7,Video,91h,Li-Ion,Yes,75,17,10,SuperVOOC,No,,Yes,10,Yes,88,504,36.4,275.5,10.9,Yes,Yes,0.27,2.27,0.0039,60
Apple,Apple Pro3,2024,Midrange,1348.14,6.4,Snapdragon 778G,12,64,iOS 16,3000,3017,2909,9.1,459,37,16.6,17.8,77,8.5,Video,113h,Li-Po,No,109,42,10,SuperVOOC,No,,Yes,20,Yes,95,265,33.7,389.2,16.3,No,No,0.3,6.86,0.003,90
Samsung,Samsung Max17,2020,Budget,202.16,6.4,Apple A15 Bionic,6,128,iOS 15,4000,4004,3931,9.6,767,21,12.5,9.4,55,8.4,Idle,83h,Li-Po,No,43,55,25,SuperVOOC,Yes,SuperVOOC,No,0,Yes,91,98,35.8,247.4,15.9,Yes,Yes,0.23,7.68,0.0024,120
Apple,Apple S29,2019,Midrange,407.26,6.4,Apple A16 Bionic,12,128,iOS 17,4500,4582,4411,12.8,735,24,11.9,16.0,65,7.9,Gaming,117h,Li-Po,No,42,36,10,Turbo Charge,No,,Yes,15,Yes,88,295,40.2,361.2,14.9,No,No,0.16,2.35,0.0028,120
Realme,Realme A10,2020,Midrange,1023.59,6.8,Apple A15 Bionic,16,512,Android 13,4000,4090,3904,11.0,358,32,11.4,7.8,53,9.6,Gaming,92h,Li-Po,No,81,57,25,VOOC,Yes,VOOC,No,10,No,95,448,43.5,533.5,11.2,Yes,Yes,0.29,7.08,0.0027,144
OnePlus,OnePlus Pro13,2019,Budget,255.91,6.1,Tensor G2,16,256,Android 12,5000,5050,4926,8.0,365,33,12.8,12.7,73,3.9,Video,92h,Li-Ion,No,62,39,65,Fast Charge,Yes,Fast Charge,Yes,0,Yes,92,54,42.8,339.7,12.8,Yes,No,0.18,3.79,0.0016,120
Realme,Realme S3,2023,Flagship,1353.8,6.5,Snapdragon 8 Gen 1,6,128,Android 12,5000,5090,4941,14.8,417,34,12.6,12.0,98,7.5,Browsing,117h,Li-Po,No,37,55,45,Warp Charge,Yes,Warp Charge,No,15,Yes,93,392,37.3,421.3,19.9,No,No,0.37,7.67,0.003,60
Xiaomi,Xiaomi X5,2020,Flagship,1236.59,6.7,Apple A16 Bionic,12,256,Android 12,3000,3084,2903,15.0,529,37,18.4,8.3,94,9.4,Browsing,113h,Li-Ion,Yes,100,48,25,Warp Charge,Yes,Warp Charge,No,15,Yes,93,285,39.4,347.7,19.8,Yes,Yes,0.29,6.06,0.005,60
Samsung,Samsung Max8,2023,Budget,111.19,6.5,Tensor G2,6,512,Android 13,6000,6038,5962,11.5,577,16,16.3,9.3,83,9.7,Mixed,118h,Li-Ion,No,103,60,65,Quick Charge 4.0,Yes,Quick Charge 4.0,Yes,0,Yes,93,142,30.9,549.2,9.0,Yes,Yes,0.36,3.77,0.0019,90
OnePlus,OnePlus S29,2018,Midrange,1420.15,6.7,MediaTek Dimensity 9200,6,128,iOS 15,5000,5087,4925,12.8,728,28,9.2,12.1,53,4.9,Idle,113h,Li-Po,No,78,59,45,SuperVOOC,Yes,SuperVOOC,Yes,0,No,98,294,41.1,307.4,7.9,No,No,0.32,3.53,0.0026,90
Apple,Apple S12,2021,Budget,230.78,6.5,Apple A15 Bionic,6,512,Android 11,3500,3526,3498,5.3,346,36,15.5,10.4,72,9.6,Browsing,113h,Li-Po,Yes,51,44,10,VOOC,No,,No,0,Yes,90,134,41.0,257.4,7.2,No,Yes,0.15,7.57,0.0015,60
Xiaomi,Xiaomi Pro30,2023,Budget,769.75,6.8,Tensor G2,6,256,Android 12,4000,4036,3908,13.1,573,32,12.7,16.4,77,4.6,Browsing,96h,Li-Po,Yes,59,57,65,Turbo Charge,Yes,Turbo Charge,No,20,Yes,93,344,44.6,472.1,14.6,Yes,Yes,0.36,7.11,0.0033,120
Samsung,Samsung S3,2018,Flagship,1257.16,6.4,Tensor G2,12,64,iOS 16,5000,5083,4936,14.5,492,21,12.2,8.3,80,3.3,Browsing,104h,Li-Po,No,100,45,10,Fast Charge,No,,Yes,20,Yes,91,519,32.3,575.4,5.1,Yes,Yes,0.17,3.12,0.0029,90
Asus,Asus S3,2023,Budget,103.52,6.5,Apple A16 Bionic,12,64,iOS 17,3500,3550,3404,16.7,616,25,12.7,10.2,57,5.9,Browsing,101h,Li-Po,No,107,30,65,VOOC,Yes,VOOC,No,0,Yes,87,311,33.3,240.6,9.4,Yes,No,0.12,5.4,0.0048,120
Xiaomi,Xiaomi Note27,2020,Budget,479.12,6.1,Apple A15 Bionic,4,256,Android 14,3500,3519,3423,16.0,665,37,13.8,10.8,57,6.3,Video,105h,Li-Po,No,43,49,33,SuperVOOC,Yes,SuperVOOC,Yes,15,Yes,89,352,41.4,515.9,19.2,No,Yes,0.21,5.75,0.0046,144
Asus,Asus A28,2021,Midrange,725.99,6.5,MediaTek Dimensity 9200,4,256,Android 11,4500,4514,4486,13.9,487,30,17.9,16.9,51,5.1,Mixed,101h,Li-Ion,No,89,37,65,SuperVOOC,Yes,SuperVOOC,Yes,15,Yes,100,436,36.3,331.1,17.0,No,No,0.3,4.63,0.0031,90
Xiaomi,Xiaomi Max13,2018,Budget,824.47,6.8,Apple A15 Bionic,16,512,iOS 16,4500,4552,4402,17.7,508,39,17.3,17.7,93,9.1,Mixed,109h,Li-Ion,No,92,38,120,Turbo Charge,Yes,Turbo Charge,Yes,0,Yes,85,220,34.8,386.8,14.0,Yes,Yes,0.29,6.26,0.0039,90
Xiaomi,Xiaomi Note1,2020,Budget,1475.92,5.5,Exynos 2100,12,512,Android 11,4000,4001,3971,13.3,396,29,9.9,11.8,83,3.5,Mixed,128h,Li-Ion,Yes,36,29,25,VOOC,Yes,VOOC,Yes,10,No,96,341,44.0,260.3,15.1,Yes,Yes,0.37,3.87,0.0033,120
Realme,Realme A10,2020,Budget,1236.38,5.5,Snapdragon 778G,6,256,Android 13,5000,5086,4980,16.9,343,37,9.9,17.7,100,8.9,Idle,94h,Li-Ion,Yes,89,55,120,Warp Charge,Yes,Warp Charge,Yes,15,No,94,156,31.4,538.5,12.9,No,No,0.3,7.74,0.0034,120
Vivo,Vivo X8,2024,Midrange,994.46,6.4,Apple A16 Bionic,16,128,Android 12,3000,3006,2905,9.8,557,37,13.7,12.1,55,7.1,Mixed,97h,Li-Po,Yes,59,28,25,VOOC,Yes,VOOC,No,20,Yes,91,578,43.0,595.5,15.0,No,No,0.19,5.01,0.0033,60
Xiaomi,Xiaomi S18,2019,Flagship,155.39,6.0,Snapdragon 778G,6,64,Android 14,3500,3593,3400,17.6,742,38,17.6,14.0,68,6.2,Video,99h,Li-Po,Yes,68,55,25,VOOC,Yes,VOOC,No,5,Yes,89,381,44.8,404.8,17.9,No,No,0.27,7.42,0.005,90
Asus,Asus A19,2023,Flagship,896.4,6.1,Snapdragon 8 Gen 1,16,128,Android 11,4000,4042,3929,8.3,512,27,14.8,16.6,81,7.8,Mixed,96h,Li-Ion,Yes,86,50,65,VOOC,Yes,VOOC,No,15,Yes,96,95,39.3,553.0,9.1,Yes,Yes,0.34,2.65,0.0021,120
Asus,Asus S22,2018,Midrange,497.0,6.0,Tensor G2,6,64,Android 14,6000,6046,5982,13.7,668,25,17.8,17.9,87,3.1,Browsing,92h,Li-Po,No,99,45,25,SuperVOOC,Yes,SuperVOOC,Yes,5,Yes,97,168,33.2,575.1,11.0,No,No,0.39,2.62,0.0023,120
Oppo,Oppo Pro13,2021,Flagship,489.35,6.5,Tensor G2,4,64,Android 12,5000,5066,4998,6.8,341,36,9.0,12.4,71,5.4,Gaming,114h,Li-Po,Yes,86,48,45,Fast Charge,Yes,Fast Charge,Yes,10,Yes,89,154,30.1,230.5,19.5,Yes,Yes,0.13,4.3,0.0014,60
Apple,Apple Note12,2021,Flagship,352.46,6.7,Apple A16 Bionic,4,256,iOS 16,3000,3006,2905,15.5,576,34,18.9,12.4,91,5.3,Gaming,120h,Li-Ion,Yes,55,29,65,Quick Charge 4.0,Yes,Quick Charge 4.0,Yes,20,No,85,540,38.9,512.1,11.1,Yes,Yes,0.18,3.65,0.0052,144
Realme,Realme Pro22,2022,Flagship,1428.22,6.5,Tensor G2,12,128,Android 12,6000,6065,5947,14.6,524,40,17.8,8.2,59,8.6,Gaming,91h,Li-Po,Yes,60,27,65,VOOC,Yes,VOOC,No,0,Yes,86,499,31.0,238.4,12.3,No,No,0.14,5.14,0.0024,120
Vivo,Vivo Note30,2020,Midrange,1018.83,6.4,Apple A15 Bionic,6,128,iOS 16,3000,3044,2930,13.4,326,15,18.6,15.6,86,3.1,Browsing,129h,Li-Ion,Yes,88,18,33,Quick Charge 4.0,Yes,Quick Charge 4.0,No,0,No,98,475,36.3,255.0,9.1,No,Yes,0.32,5.94,0.0045,60
Xiaomi,Xiaomi S24,2020,Budget,925.24,6.7,Apple A16 Bionic,4,128,Android 12,5000,5041,4965,15.4,702,24,15.5,14.2,83,3.6,Gaming,121h,Li-Ion,No,57,18,65,Fast Charge,Yes,Fast Charge,Yes,10,Yes,94,105,37.4,448.3,7.2,Yes,Yes,0.12,4.48,0.0031,120
Oppo,Oppo S15,2023,Midrange,973.26,6.8,Snapdragon 8 Gen 1,16,256,Android 14,5000,5058,4937,16.8,491,25,17.7,14.8,80,3.2,Gaming,117h,Li-Po,No,63,16,25,Warp Charge,Yes,Warp Charge,No,0,Yes,90,145,32.8,436.6,7.1,No,No,0.18,2.33,0.0034,90
Vivo,Vivo X26,2020,Flagship,870.5,6.1,Tensor G2,16,64,iOS 15,3000,3035,2948,14.8,533,39,11.8,14.3,98,7.9,Gaming,94h,Li-Ion,No,101,20,25,SuperVOOC,Yes,SuperVOOC,Yes,15,Yes,96,488,43.5,443.9,8.4,No,Yes,0.24,5.66,0.0049,90
Vivo,Vivo A19,2020,Flagship,1148.56,6.7,Apple A16 Bionic,6,64,Android 13,5000,5093,4963,14.6,324,34,14.9,9.6,93,9.6,Browsing,102h,Li-Po,No,43,47,10,Warp Charge,No,,No,0,Yes,85,207,33.4,394.2,16.2,No,No,0.37,6.53,0.0029,60
Motorola,Motorola X15,2023,Budget,959.22,6.7,Apple A16 Bionic,4,128,iOS 17,3500,3502,3457,5.5,373,18,16.4,9.9,79,6.0,Mixed,105h,Li-Ion,No,102,15,65,Fast Charge,Yes,Fast Charge,No,10,No,87,190,39.6,331.2,19.4,No,No,0.39,5.21,0.0016,120
Vivo,Vivo A4,2020,Budget,136.16,6.4,MediaTek Dimensity 9200,16,256,iOS 15,3500,3542,3446,17.0,503,28,15.5,7.1,89,6.5,Idle,86h,Li-Po,Yes,67,50,65,Fast Charge,Yes,Fast Charge,No,10,No,88,290,36.9,327.9,10.3,Yes,Yes,0.23,4.02,0.0049,120
Realme,Realme S1,2021,Flagship,633.31,6.1,Apple A15 Bionic,12,128,Android 14,3000,3097,2942,9.2,747,18,19.1,14.2,50,8.2,Idle,90h,Li-Po,Yes,99,45,120,Fast Charge,Yes,Fast Charge,No,20,Yes,97,205,30.5,387.9,17.9,Yes,No,0.22,3.02,0.0031,120
Oppo,Oppo Max14,2021,Budget,509.86,6.4,Exynos 2100,4,64,Android 12,4000,4007,3973,14.6,579,19,19.4,9.6,95,3.4,Mixed,118h,Li-Ion,No,52,59,25,Warp Charge,Yes,Warp Charge,Yes,0,No,96,67,41.9,582.0,18.7,No,Yes,0.11,2.37,0.0037,60
Realme,Realme Note30,2020,Flagship,510.85,6.0,MediaTek Dimensity 9200,4,256,iOS 17,6000,6087,5952,8.1,377,24,17.8,11.0,69,8.0,Idle,130h,Li-Po,Yes,34,22,10,Fast Charge,No,,Yes,0,No,100,457,34.7,488.3,13.6,No,No,0.38,5.61,0.0013,90
Oppo,Oppo Note5,2018,Budget,1373.0,6.8,Apple A15 Bionic,6,256,iOS 17,3500,3565,3431,14.6,480,39,10.4,7.4,95,9.4,Gaming,83h,Li-Po,Yes,89,45,33,Quick Charge 4.0,Yes,Quick Charge 4.0,Yes,5,Yes,93,143,39.1,389.1,6.6,Yes,No,0.11,3.95,0.0042,144
Google,Google S30,2021,Flagship,1057.87,6.1,Tensor G2,12,64,Android 11,4500,4539,4429,9.2,310,37,17.2,16.4,96,9.6,Idle,94h,Li-Po,Yes,30,46,33,SuperVOOC,Yes,SuperVOOC,Yes,5,Yes,95,518,39.0,479.3,12.3,No,No,0.33,4.82,0.002,60
Xiaomi,Xiaomi Note19,2023,Midrange,1064.53,6.7,Apple A15 Bionic,8,256,Android 13,4000,4036,3932,14.9,641,32,16.7,13.3,99,3.1,Video,81h,Li-Po,No,75,35,45,Quick Charge 4.0,Yes,Quick Charge 4.0,Yes,0,No,99,345,36.5,533.4,13.0,No,Yes,0.26,7.85,0.0037,144
Samsung,Samsung Note15,2021,Flagship,1029.92,6.1,Snapdragon 778G,8,256,iOS 16,5000,5062,4998,6.9,385,28,17.7,10.6,53,6.6,Browsing,92h,Li-Ion,Yes,46,40,18,SuperVOOC,Yes,SuperVOOC,Yes,10,No,99,442,34.5,362.7,10.8,Yes,No,0.18,6.55,0.0014,120
OnePlus,OnePlus A19,2022,Midrange,287.43,5.5,Tensor G2,4,64,iOS 17,5000,5050,4972,11.1,726,20,17.6,9.3,56,9.0,Idle,82h,Li-Po,Yes,101,55,65,Quick Charge 4.0,Yes,Quick Charge 4.0,Yes,5,No,94,80,34.3,433.6,5.8,Yes,No,0.25,4.47,0.0022,60
Realme,Realme Note10,2019,Budget,1403.19,6.4,Apple A16 Bionic,6,64,iOS 15,3000,3038,2964,8.9,798,28,8.5,7.7,70,9.2,Idle,86h,Li-Ion,No,64,25,33,SuperVOOC,Yes,SuperVOOC,Yes,10,No,96,134,38.8,238.8,15.7,Yes,Yes,0.37,2.16,0.003,144
Google,Google S29,2023,Midrange,870.89,5.5,Exynos 2100,6,512,Android 14,6000,6072,5905,12.4,578,20,14.0,7.5,67,3.1,Idle,114h,Li-Po,No,73,34,10,Quick Charge 4.0,No,,No,15,Yes,89,432,41.7,567.0,10.2,Yes,No,0.27,3.0,0.0021,60
Oppo,Oppo A7,2020,Midrange,721.77,6.1,MediaTek Dimensity 9200,16,512,Android 12,4500,4501,4481,10.8,649,22,16.4,16.6,95,7.2,Browsing,120h,Li-Po,Yes,85,23,25,Fast Charge,Yes,Fast Charge,No,10,No,96,558,32.3,576.4,19.0,Yes,Yes,0.37,4.9,0.0024,144
Oppo,Oppo X6,2020,Flagship,1289.43,5.5,Exynos 2100,8,64,Android 13,4000,4049,3959,17.5,556,16,17.3,16.1,64,5.0,Mixed,106h,Li-Ion,Yes,74,16,120,SuperVOOC,Yes,SuperVOOC,No,10,No,91,536,30.6,560.3,8.9,Yes,Yes,0.15,6.72,0.0044,60
Realme,Realme Max14,2023,Budget,257.73,6.4,Apple A16 Bionic,16,256,iOS 16,3500,3575,3467,5.9,664,34,15.6,15.0,73,8.6,Idle,99h,Li-Po,No,41,44,65,SuperVOOC,Yes,SuperVOOC,Yes,15,No,98,123,38.1,428.6,10.0,Yes,No,0.21,4.52,0.0017,144
Realme,Realme S9,2020,Midrange,467.3,6.1,Exynos 2100,8,512,iOS 16,4000,4007,3959,17.1,621,39,8.1,16.5,87,9.7,Mixed,125h,Li-Ion,Yes,58,26,10,VOOC,No,,No,10,No,89,95,35.9,333.4,8.5,No,Yes,0.12,4.37,0.0043,90
Samsung,Samsung Pro22,2021,Budget,1262.37,6.7,Snapdragon 778G,8,128,iOS 17,4000,4066,3959,11.9,572,34,8.7,16.3,53,6.6,Idle,107h,Li-Ion,No,77,53,120,SuperVOOC,Yes,SuperVOOC,Yes,10,No,89,257,33.5,399.1,17.9,No,No,0.4,2.94,0.003,120
Motorola,Motorola Max21,2021,Budget,1302.5,6.7,Snapdragon 8 Gen 1,8,128,iOS 15,4500,4599,4463,10.6,330,28,13.7,11.9,76,3.3,Idle,107h,Li-Ion,No,46,56,25,SuperVOOC,Yes,SuperVOOC,Yes,0,No,97,250,30.9,437.6,14.5,No,Yes,0.2,7.99,0.0024,60
Samsung,Samsung S28,2022,Midrange,1137.52,6.5,Apple A15 Bionic,4,512,iOS 16,4500,4576,4480,9.1,439,17,11.4,10.1,78,4.0,Idle,110h,Li-Po,Yes,42,42,25,Turbo Charge,Yes,Turbo Charge,No,10,Yes,92,558,43.3,282.6,11.9,No,Yes,0.2,6.15,0.002,144
Asus,Asus Note8,2022,Midrange,578.27,6.1,MediaTek Dimensity 9200,8,512,Android 13,5000,5003,4986,13.4,508,32,9.2,11.7,97,7.2,Video,88h,Li-Po,Yes,104,45,25,Fast Charge,Yes,Fast Charge,No,15,No,94,395,38.3,465.7,6.2,No,Yes,0.21,7.28,0.0027,144
Asus,Asus Note16,2023,Midrange,134.7,6.4,Exynos 2100,4,128,iOS 17,4500,4581,4446,7.3,377,34,17.7,9.4,50,7.1,Idle,110h,Li-Po,No,39,52,10,SuperVOOC,No,,No,20,No,89,526,31.0,395.3,9.0,Yes,Yes,0.24,6.95,0.0016,120
Google,Google Max9,2023,Midrange,1142.81,6.4,MediaTek Dimensity 9200,12,256,Android 13,4000,4020,3949,7.9,743,26,11.9,13.1,53,4.1,Gaming,110h,Li-Po,Yes,80,24,10,Warp Charge,No,,No,5,No,100,161,37.7,345.1,17.9,Yes,No,0.13,6.37,0.002,120
Google,Google A5,2021,Midrange,1118.72,6.7,Apple A15 Bionic,8,64,iOS 17,6000,6075,5905,7.2,576,15,15.8,10.4,81,8.6,Idle,83h,Li-Po,No,95,39,10,SuperVOOC,No,,No,5,Yes,86,404,36.6,484.2,8.6,Yes,Yes,0.28,6.34,0.0012,120
Apple,Apple Max10,2019,Budget,1136.41,6.4,Snapdragon 8 Gen 1,16,64,Android 11,6000,6000,5949,13.1,370,36,14.5,8.4,70,7.3,Video,111h,Li-Po,No,114,47,120,Turbo Charge,Yes,Turbo Charge,No,0,Yes,92,182,38.2,458.6,8.9,Yes,Yes,0.37,3.1,0.0022,144
Samsung,Samsung X30,2021,Midrange,1301.36,5.5,Snapdragon 778G,12,128,iOS 15,6000,6074,5979,13.9,367,18,8.1,11.9,94,7.0,Idle,119h,Li-Po,No,50,27,25,Fast Charge,Yes,Fast Charge,No,15,No,99,100,30.7,422.8,14.1,Yes,Yes,0.11,5.87,0.0023,90
Oppo,Oppo X25,2024,Flagship,1203.0,6.1,Exynos 2100,8,128,iOS 16,3000,3047,2948,14.9,777,20,10.3,14.0,51,4.6,Browsing,86h,Li-Po,No,36,51,45,Warp Charge,Yes,Warp Charge,Yes,5,Yes,92,340,36.4,228.7,19.5,Yes,Yes,0.21,7.84,0.005,60
Asus,Asus S23,2019,Midrange,1490.84,5.5,Tensor G2,16,64,Android 11,5000,5057,4979,8.8,354,32,19.6,16.3,95,5.7,Video,117h,Li-Ion,No,94,16,25,Fast Charge,Yes,Fast Charge,Yes,0,No,97,547,44.5,323.7,12.1,No,No,0.24,4.32,0.0018,144
Google,Google Max29,2022,Midrange,1233.85,6.0,Snapdragon 8 Gen 1,12,128,iOS 16,4500,4523,4478,12.3,690,27,11.5,14.0,79,9.4,Browsing,81h,Li-Po,No,35,55,25,Warp Charge,Yes,Warp Charge,Yes,5,Yes,86,173,35.2,457.7,15.0,No,No,0.3,2.99,0.0027,90
OnePlus,OnePlus Pro7,2020,Flagship,1226.08,6.8,Apple A15 Bionic,4,256,iOS 17,3000,3022,2930,11.9,422,26,8.6,12.6,72,3.6,Browsing,107h,Li-Ion,Yes,59,28,25,Turbo Charge,Yes,Turbo Charge,Yes,0,No,92,439,39.4,576.4,12.0,No,No,0.3,6.45,0.004,90
OnePlus,OnePlus Note17,2023,Midrange,1397.28,6.4,MediaTek Dimensity 9200,6,512,Android 12,6000,6056,5936,5.1,305,26,19.7,7.5,77,4.2,Idle,95h,Li-Po,Yes,99,54,18,VOOC,Yes,VOOC,No,5,Yes,86,28,31.7,542.6,7.9,No,Yes,0.24,6.38,0.0008,120
Asus,Asus X8,2023,Budget,329.99,6.5,Apple A15 Bionic,16,64,iOS 15,6000,6098,5919,13.9,487,21,19.3,10.5,74,3.6,Gaming,86h,Li-Ion,Yes,78,34,25,SuperVOOC,Yes,SuperVOOC,Yes,15,No,88,56,34.5,539.2,9.8,No,No,0.13,3.58,0.0023,60
Vivo,Vivo Max20,2018,Midrange,748.88,6.4,MediaTek Dimensity 9200,8,128,iOS 17,4000,4059,3952,7.8,483,29,18.2,15.2,65,3.3,Video,123h,Li-Ion,No,43,34,65,Turbo Charge,Yes,Turbo Charge,No,0,No,95,551,38.1,221.8,7.5,Yes,Yes,0.28,2.55,0.0019,144
OnePlus,OnePlus Note25,2022,Budget,1322.69,6.7,Snapdragon 778G,4,256,Android 13,4500,4564,4478,13.8,711,20,17.2,12.1,78,8.8,Browsing,121h,Li-Po,Yes,95,26,33,Fast Charge,Yes,Fast Charge,No,20,No,90,547,32.5,372.7,5.3,No,No,0.18,5.98,0.0031,60
